title,overview,original_language,release_date,vote_average,popularity,vote_count
Bad Genius,"Lynn, a brilliant student, after helping her friends to get the grades they need, develops the idea of starting a much bigger exam-cheating business.",th,2017-05-03,7.892,2.9482,798
Cellular,A young man receives an emergency phone call on his cell phone from an older woman. She claims to have been kidnapped – and the kidnappers have targeted her husband and child next.,en,2004-09-06,6.383,2.8646,1954
A Nightmare on Elm Street: The Dream Child,"Alice finds the deadly dreams of Freddy Krueger starting once again. This time, the taunting murderer is striking through the sleeping mind of her unborn child.",en,1989-08-11,5.403,2.5563,1325
Ernest & Celestine,"Celestine is a little mouse trying to avoid a dental career while Ernest is a big bear craving an artistic outlet. When Celestine meets Ernest, they overcome their natural enmity by forging a life of crime together.",fr,2012-12-12,7.766,2.4003,630
Exorcist II: The Heretic,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a research specialist free her from its grasp?",en,1977-06-17,4.532,2.427,738
Doraemon: Nobita and the Island of Miracles – Animal Adventure,"Nobita and Doraemon use time tree Mochi and catch a big bird, which has been extinct for 500 years ago. To protect the animal, Nobita and Doraemon go to Beremon Island, overseen by a golden beetle named Herakles.",ja,2012-03-03,6.9,2.3715,69
Super,"After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, though he lacks for heroic skills.",en,2010-11-26,6.5,2.8436,1625
Digimon Frontier: Revival of Ancient Digimon,"Takuya Kanbara, Koji Minamoto, J.P. Shibayama, Zoe Orimoto, Tommy Himi, Bokomon, Neemon ride a Trailmon (Ball) through a desert when they get caught in a battle between human and beast Digimon. It is interrupted by the Lost Island, an island trapped between dimensions, crashing down between them and scooping all involved up.",ja,2002-07-20,7.2,2.1871,14
Evolution,"A comedy that follows the chaos that ensues when a meteor hits the Earth carrying alien life forms that give new meaning to the term ""survival of the fittest."" David Duchovny, Orlando Jones, Seann William Scott, and Julianne Moore are the only people standing between the aliens and world domination... which could be bad news for the Earth.",en,2001-06-08,6.1,3.4698,2307
My Lovely Angel,"A life-changing story of a man who has lived as a loner his entire life. Jae Shik begins to live together with a child with a hearing-visual disability, as they change each other's lives and try to find a way to communicate.",ko,2021-05-12,7.45,2.61,20
The Wrong Missy,"A guy meets the woman of his dreams and invites her to his company's corporate retreat, but realizes he sent the invite to the wrong person.",en,2020-05-13,6.151,2.5049,1207
Before Midnight,"It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. They now live in Paris with twin daughters but have spent a summer in Greece at the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.",en,2013-04-05,7.5,2.5783,2488
Island of Fire,Someone in a prison run by a corrupt warden fakes the deaths of convicts to later use them as expendable assassins. A police officer is sent into the prison to gather evidence of the corruption.,cn,1990-03-28,6.2,2.5361,132
Space Sharks,"A military experiment conducted on a space station goes horribly wrong, sending a new breed of weaponized sharks to earth with only one mission: destroy everything in their path.",en,2024-06-23,2.1,1.1656,10
Pokémon the Movie: Genesect and the Legend Awakened,"A group of five Genesect have invaded the big city and pose a threat to the supply of electricity, which attracts the attention of the legendary Pokémon Mewtwo. Satoshi, Pikachu and his friends must come to the rescue when the powerful leader, a red Genesect, faces Mewtwo.",ja,2013-07-13,6.3,2.6436,155
Heroes Shed No Tears,"The Thai government hires a group of Chinese mercenaries to capture a powerful drug lord from the Golden Triangle. The mercenaries manage to capture the drug lord, but soon find themselves pursued by his forces, and the forces of a bitter Thai officer. The Chinese mercenaries are vastly outnumbered, and as their numbers begin to dwindle, their desperation pulls them into a corner as their enemies close in on them.",cn,1984-11-30,6.459,2.7295,73
The Cellar,"When Keira Woods' daughter mysteriously vanishes in the cellar of their new house in the country, she soon discovers there is an ancient and powerful entity controlling their home that she will have to face or risk losing her family's souls forever.",en,2022-03-25,6.511,2.7476,466
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,"With their most formidable foe vanquished, Inuyasha and his comrades begin returning to their everyday lives. But their peace is fleeting as another adversary emerges: Kaguya, the self-proclaimed princess from the Moon of Legend, hatches a plot to plunge the world into an eternal night of the full moon. Inuyasha, Kagome, Miroku, Sango and Shippou must reunite to confront the new menace.",ja,2002-12-22,7.7,2.5503,148
Blockers,"When three parents discover that each of their daughters have a pact to lose their virginity at prom, they launch a covert one-night operation to stop the teens from sealing the deal.",en,2018-03-14,6.307,3.1318,2029
House of Spoils,"An ambitious chef opens a restaurant on a remote estate where she battles kitchen chaos, crushing self doubts… and a haunting presence who threatens to sabotage her at every turn.",en,2024-09-21,5.519,2.693,132
"Good Night, and Good Luck","Livestreamed from the penultimate show at the Winter Garden Theatre in New York City, this stage adaptation of George Clooney's 2005 film follows the story of journalist Edward R. Murrow's stand against Senator Joseph McCarthy's anti-communist witch-hunts in the early 1950s.",en,2025-06-07,5.333,2.0647,3
The Cable Guy,"When recently single Steven moves into his new apartment, cable guy Chip comes to hook him up—and doesn't let go. Initially, Chip is just overzealous in his desire to be Steven's pal, but when Steven tries to end the 'friendship', Chip shows his dark side. He begins stalking Steven, who's left to fend for himself because no one else can believe Chip's capable of such behaviour.",en,1996-06-10,6.0,2.6482,2507
Obsession,"Simone inherits a dilapidated farmhouse in France and makes her way there with her husband Eric and their two children. Her dream is to turn the house into a bed and breakfast but as the hectic pace of the rebuilding gets underway, she gets caught up in the romance and chaos of it all. Losing sight of her goals, she must find her way back to the dreams and ambitions which brought her there in the first place.",nl,2015-06-04,6.34,2.6745,222
The Day the Earth Stood Still,An alien and a robot land on Earth after World War II and tell mankind to be peaceful or face destruction.,en,1951-09-28,7.446,2.3528,1152
Gold,"Kenny Wells, a modern-day prospector, hustler, and dreamer, is desperate for a lucky break. Left with few options, Wells teams up with an equally luckless geologist to execute a grandiose, last-ditch effort: to find gold deep in the uncharted jungle of Indonesia.",en,2016-02-03,6.6,2.7643,1661
Batman: Death in the Family,Tragedy strikes the Batman's life again when Robin Jason Todd tracks down his birth mother only to run afoul of the Joker. An adaptation of the 1988 comic book storyline of the same name.,en,2020-10-13,7.1,2.4667,434
Pokémon the Movie: The Power of Us,"A young athlete whose running days might be behind her, a compulsive liar, a shy researcher, a bitter old woman, and a little girl with a big secret—the only thing they have in common is the annual Wind Festival in Fula City.  The festival celebrates the Legendary Pokémon Lugia, who brings the wind that powers this seaside city. When a series of threats endangers not just the festival, but all the people and Pokémon of Fula City, it’ll take more than just Satoshi and Pikachu to save the day! Can everyone put aside their differences and work together—or will it all end in destruction?",ja,2018-07-13,7.1,2.6243,206
Sound of Hope: The Story of Possum Trot,"Led by Donna and Reverend W.C. Martin, 22 families from a rural Black church in the small East Texas town of Possum Trot adopt 77 of the most difficult-to-place kids in the foster system and kickstart a movement in the process.",en,2024-07-04,6.733,2.1619,45
D,"Deshu, a mechanic from Dubai, comes home to Mumbai, and gets embroiled in a crime by accident. The film shows his meteoric rise from common, law-abiding man to underworld kingpin.",hi,2005-06-03,6.2,1.3196,34
We Grown Now,"In 1992 Chicago,  a story of two young legends in their own right begins. As wide-eyed and imaginative best friends Malik and Eric traverse the city, looking to escape the mundaneness of school and the hardships of growing up in public housing, their unbreakable bond is challenged when tragedy shakes their community just as they are learning to fly.",en,2024-04-19,6.7,1.2621,26
I Heard the Bells,"Known as America’s Poet, Henry Wadsworth Longfellow leads an idyllic life – until the day his world is shattered by tragedy. With a nation divided by Civil War and his family torn apart, Henry puts down his pen, silenced by grief. But it’s the sound of Christmas morning that reignites the poet’s lost voice as he discovers the resounding hope of rekindled faith.",en,2022-12-01,7.5,1.3656,22
20 Days in Mariupol,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.",en,2023-07-14,8.009,1.5962,221
Arahan,"Sang-hwan became a cop in order to help the downtrodden, but he doesn't get much respect. All that changes when he meets the Seven Masters.",ko,2004-04-30,6.6,2.4535,127
Scorpio Nights 3,"A young couple's sex acts are witnessed by a young man through a hole. When the wife seduces him, they engage in an illicit affair. Chaos ensues when the husband learns about them.",tl,2022-07-28,6.036,2.6613,14
Dragon Tiger Gate,Three young martial arts masters emerge from the back streets of Hong Kong to help the powerless fight injustice.,cn,2006-07-27,6.7,2.8723,217
The Debt Collector,"A classically-trained martial artist goes to work as a debt collector for the mob. The job seems easy enough, until one “client” pulls him into a situation deeper than could ever be expected.",en,2018-06-05,5.831,2.5254,222
The Rise of the Robots,"What would you do if you were a Robot and didn't even know it? Take a trip down memory lane and relive a classic robot Sci-Fi film straight from the past using your modern technology devices. The last four human beings will have to fight to save the world from the robots! Two college students, one professor and a county Hillbilly face a world taken over by robots. Will they save planet earth from the rise of the robots? Stoner, Lottie, Professor Beowulf and Bubba have to fight against Robot Technology to save humanity!",en,2015-12-09,3.0,2.6692,2
Space Cowboys,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.",en,2000-08-04,6.4,3.6724,1418
Election,"Tracy Flick is running unopposed for this year’s high school student election. But Jim McAllister has a different plan. Partly to establish a more democratic election, and partly to satisfy some deep personal anger toward Tracy, Jim talks football player Paul Metzler to run for president as well.",en,1999-04-23,6.857,2.366,1106
Anunnaki,"When Luke takes his girlfriend Sam on a romantic date deep in the woods to propose marriage, he discovers something otherworldly that puts them both in mortal danger.",en,2022-12-17,0.0,1.4282,0
Prom Night,"At a high school senior prom, a masked killer stalks four teenagers who were responsible for the accidental death of a classmate six years prior.",en,1980-07-18,5.7,2.443,454
Fright Night,"Charley Brewster, a high school student, accidentally discovers the true and creepy nature of Jerry Dandrige, his dashing and enigmatic new neighbor; but no one seems willing to believe him.",en,1985-08-02,7.04,2.5785,1427
人妻の虜　隣のあさみさん,"An older couple moved into the house next to Yuzu and Minato's brother and sister. Minato fell in love at first sight with his wife Asami, who came to greet the move, and began to peek at Asami's behavior. Gradually, Yuzu is also attracted to Asami...",ja,2023-12-29,0.0,2.89,0
Hart's War,"When Col. William McNamara is stripped of his freedom in a German POW camp, he's determined to keep on fighting even from behind enemy lines. Enlisting the help of a young lieutenant in a brilliant plot against his captors, McNamara risks everything on a mission to free his men and change the outcome of the war.",en,2002-02-15,6.4,2.3172,971
Ghosts of Girlfriends Past,"Celebrity photographer Connor Mead lives life in the fast lane, committed to lifelong bachelorhood and simultaneous relationships with multiple women. On the eve of his younger brother Paul's wedding, Connor's mockery of love proves a real buzz-kill for everyone - including his childhood crush, Jenny, the one woman who always seemed immune to his considerable charms. Later that night, he gets a wake-up call from the ghost of his late Uncle Wayne, the hard-partying, legendary ladies' man who was Connor's mentor. Uncle Wayne has an urgent message which he delivers through three ghosts who guide Connor on an eye-opening tour of his romantic past, present and future. Along the way, they attempt to discern whether he will ever be able to change his ways -- and if there is any hope of him finding true love.",en,2009-05-01,5.953,2.7061,2336
Andhadhun,A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,hi,2018-10-05,7.631,2.7043,543
Rage,"When the Russian mob kidnaps the daughter of a reformed criminal, he rounds up his old crew and seeks his own brand of justice.",en,2014-05-09,5.281,3.0572,766
"My Teacher, My Obsession","Riley is struggling to make friends after transferring to a new high school where her father, Chris, is an English teacher. When she meets Kyla, they quickly becomes close friends. However, the friendship takes a strange turn when Riley learns that Kyla is obsessed with her dad. Will Kyla successfully seduce Chris and start a twisted new life with him by removing everyone in her path, or will Riley be able to save her father from Kyla’s treacherous plot before it’s too late?",en,2018-06-12,5.0,2.7429,100
Naam Shabana,Shabana Khan is the special agent who is entrusted the task of assassinating a deadly arms dealer by the Indian Intelligence Agencies.,hi,2017-03-31,5.7,1.7598,52
A Dangerous Method,"Seduced by the challenge of an impossible case, the driven Dr. Carl Jung takes the unbalanced yet beautiful Sabina Spielrein as his patient. Jung’s weapon is the method of his master, the renowned Sigmund Freud. Both men fall under Sabina’s spell.",en,2011-09-30,6.4,2.3588,2111
Bird on a Wire,"An FBI informant has kept his new identity secret for 15 years. Now an old flame has recognised him, and the bad guys are back for revenge.",en,1990-05-18,6.222,3.0611,962
Mr. Monk's Last Case: A Monk Movie,Monk steps out of retirement as his stepdaughter's wedding turns tragic when her fiancé dies in a bungee jumping accident.,en,2023-12-08,7.0,2.102,180
The Perfection,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",en,2018-09-20,6.5,1.9999,1381
Doraemon: Nobita and the Steel Troops,"The story begins with Nobita and Shizuka sitting on the pipes in the yard they hang out at while Suneo showed off his robot. Nobita grew jealous and asked Doraemon to build him a giant robot. Coincidently, robot parts began to fall from the sky. Then Nobita and Doraemon began to assemble the robot.",ja,1986-03-15,6.5,2.8816,33
When the Last Sword Is Drawn,"Kanichiro Yoshimura is a Samurai and Family man who can no longer support his wife and children on the the low pay he receives from his small town clan, he is forced by the love for his family to leave for the city in search of higher pay to support them.",ja,2003-01-18,7.556,2.2475,107
Timber Falls,"A weekend of camping in the mountains becomes an excursion into hell for a young couple, who become pawns in a grotesque plot hatched by deranged locals.",en,2007-12-07,5.2,2.6588,155
Fortress,"The story revolves around a top-secret resort for retired U.S. intelligence officers. A group of criminals led by Balzary breach the compound, hellbent on revenge on Robert, forcing the retired officer and his son to save the day.",en,2021-12-17,5.7,2.2306,347
The Human Condition II: Road to Eternity,"Kaji is sent to the Japanese army labeled Red and is mistreated by the vets. Along his assignment, Kaji witnesses cruelties in the army and revolts against the abusive treatment against the recruit Obara. He also sees his friend Shinjô Ittôhei defecting to the Russian border, and he ends in the front to fight a lost battle against the Russian tanks division.",ja,1959-11-20,8.2,2.401,197
Flash Gordon,A football player and his mates travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,en,1980-09-01,6.233,2.4014,1008
Fatale,"After a wild one-night stand, successful sports agent Derrick Tyler watches his perfect life slowly disappear when he discovers the sexy and mysterious woman he risked everything for is determined police detective Valerie Quinlan who entangles him in her latest investigation. As he desperately tries to put the pieces together, he falls deeper into her trap, risking his family, his career, and even his life.",en,2020-12-18,6.0,2.3778,346
Ravenswood,"When 4 American tourists - Sofia, Carl, Belle and Michael - go on a ghost tour, they get much more than they bargained for, when the ghosts of an evil Doctor and his last patient victim trap them in the old abandoned psychiatric ward.",en,2017-03-11,4.9,1.4945,20
Ciao Alberto,"With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimo—the imposing, tattooed, one-armed fisherman of few words—who's quite possibly the coolest human in the entire world as far as Alberto is concerned. He wants more than anything to impress his mentor, but it's easier said than done.",en,2021-11-11,7.4,2.1687,676
New Nightmare,Cast and crew from A Nightmare on Elm Street are terrorized by Freddy Krueger and his razor-fingered glove as he crosses over into the real world.,en,1994-10-13,6.448,2.4271,1468
SpongeBob SquarePants Presents The Tidal Zone,GrandPat travels through alternate dimensions and timelines to get home.,en,2023-01-13,7.0,2.2306,39
The Cider House Rules,"Homer is an orphan who was never adopted, becoming the favorite of orphanage director Dr. Larch. Dr. Larch imparts his full medical knowledge on Homer, who becomes a skilled, albeit unlicensed, physician. But Homer yearns for a self-chosen life outside the orphanage. What will Homer learn about life and love in the cider house? What of the destiny that Dr. Larch has planned for him?",en,1999-12-17,7.1,2.5023,1206
The Decameron,"A young Sicilian is swindled twice, but ends up rich; a man poses as a deaf-mute in a convent of curious nuns; a woman must hide her lover when her husband comes home early; a scoundrel fools a priest on his deathbed; three brothers take revenge on their sister's lover; a young girl sleeps on the roof to meet her boyfriend at night; a group of painters wait for inspiration; a crafty priest attempts to seduce his friend's wife; and two friends make a pact to find out what happens after death.",it,1971-08-25,6.901,2.3099,332
Scarygirl,"As her world is shrouded in darkness, a young girl must overcome her fears and travel to a mysterious city of light, save her father from a dangerous scientist and prevent the destruction of her planet.",en,2023-10-05,6.925,2.3396,60
The Legend of Condor Hero: What is Love,"Yang Guo, orphaned and wandering since childhood, became a disciple of Guo Jing but faced bullying in the Quanzhen Sect due to his mysterious background. He eventually left to study martial arts under Xiao Longnv. Meanwhile, King Jinlun and rogue disciple Li Mochou sought to seize martial arts secrets and strategic maps. Caught in the conflicts of the martial world, Yang Guo and Xiao Longnv faced numerous challenges, and their bond deepened into a bittersweet love.",zh,2025-01-22,6.4,2.5945,18
Ice Age: The Great Egg-Scapade,"A harried prehistoric bird mother entrusts her precious, soon-to-hatch egg to Sid. When she recommends him to her neighbours, business booms at his new egg-sitting service. However, dastardly pirate bunny, Squint, who is seeking revenge on the herd, steals, camouflages and hides all the eggs. Once again, with Squint’s twin brother assisting, Manny, Diego and the rest of the gang come to the rescue and take off on a daring mission that turns into the world’s first Easter egg hunt.",en,2016-03-19,6.4,2.2976,486
Goal!,"Like millions of kids around the world, Santiago harbors the dream of being a professional footballer... However, living in the Barrios section of Los Angeles, he thinks it is only that—a dream. Until one day an extraordinary turn of events has him trying out for Premiership club Newcastle United.",en,2005-09-29,6.759,2.6849,1146
The Book of Daniel,"Taken into slavery after the fall of Jerusalem in 605 B.C., Daniel is forced to serve the most powerful king in the world, King Nebuchadnezzar. Faced with imminent death, Daniel proves himself a trusted Advisor and is placed among the king's wise men. Threatened by death at every turn Daniel never ceases to serve the king until he is forced to choose between serving the king or honoring God. With his life at stake, Daniel has nothing but his faith to stand between him and the lions' den.",en,2013-10-01,7.0,2.8044,69
Elizabethtown,"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way, he meets a flight attendant with whom he falls in love.",en,2005-10-14,6.184,2.3424,1129
Le Samouraï,"After carrying out a flawlessly planned hit, Jef Costello, a contract killer with samurai instincts, finds himself caught between a persistent police investigator and a ruthless employer, and not even his armor of fedora and trench coat can protect him.",fr,1967-10-25,7.762,2.224,1152
Every Dog Has His Date,A dog has its soul swapped with a human and falls in love with its beautiful owner.,zh,2001-11-22,5.0,1.6527,3
The Flowers of War,"A Westerner finds refuge with a group of women in a church during Japan's rape of Nanking in 1937. Posing as a priest, he attempts to lead the women to safety.",zh,2011-12-15,7.4,2.4361,823
Okay! Madam,"A working class family wins a free vacation to Hawaii. But when their plane takes flight, it gets hijacked by terrorists. To save her family and the other passengers, the wife must reveal her secret past and fight back.",ko,2020-08-12,7.1,2.8859,48
Σουσουράδα,"Sousourada is the spoiled daughter of Nikolakis, a wealthy man. She is consistently mischievous and is always upsetting her family. A poor young man falls in love with her and decides to do anything he can to tame and marry her.",el,1960-01-01,0.0,1.0599,0
That Trip We Took with Dad,"Romania, 1968. Two very different brothers. Mihai is a secret police informant, Emil is a dedicated dissident. When they have the opportunity to have their ailing father’s eyes operated on in East Germany, the three set out on a moving odyssey.",de,2016-06-26,6.3,1.3159,15
The Love Scam,"Drowning in debt, two brothers concoct a plan to scam a wealthy heiress and save their home in Naples — but unexpected love soon complicates the scheme.",it,2025-01-01,6.4,2.5625,119
D.A.R.Y.L.,"Daryl is a normal 10-year-old boy in many ways. However, unbeknown to his foster parents and friends, Daryl is actually a government-created robot with superhuman reflexes and mental abilities. Even his name has a hidden meaning -- it's actually an acronym for Data Analyzing Robot Youth Life-form. When the organization that created him deems the ""super soldier"" experiment a failure and schedules Daryl to be disassembled, it is up to a few rogue scientists to help him escape.",en,1985-06-14,6.41,2.6793,340
Exorcist: The Beginning,"Years before Father Merrin helped save Regan MacNeil’s soul, he first encounters the demon Pazuzu in East Africa.",en,2004-08-20,5.387,2.5768,833
Lockout,"Set in the near future, Lockout follows a falsely convicted ex-government agent , whose one chance at obtaining freedom lies in the dangerous mission of rescuing the President's daughter from rioting convicts at an outer space maximum security prison.",en,2012-04-12,5.933,2.6865,1872
"Son's Girlfriend, Daddy's Girlfriend 2","Jeong-goo is in a relationship with his son's girlfriend, Mi-hee. Mi-hee feels guilty and breaks up with Yeong-jin, and Yeong-jin who is struggling because of it, got in a relationship with Joo-eun. Yeong-jin's ex-wife, Yeon-ri meets Jeong-goo by chance and finds out about the whole thing, and Yeon-ri who was curious about Jeong-goo, sleeps with him...",ko,2022-04-01,4.0,2.5922,2
Black Water,"A deep cover operative awakens to find himself imprisoned on a submarine. With the help of a fellow prisoner and an amateur agent, he must race against the clock to escape the vessel and expose who set him up.",en,2018-05-18,5.537,2.5459,260
Barbie: The Princess & the Popstar,"Tori is a blonde princess who is bored of living her royal life, and has dreams of becoming a popstar. Keira, on the other hand, is a brunette popstar who dreams of being a princess. When the two meet, they magically trade places, but after realising it is best to be themselves.",en,2012-09-13,7.18,2.3001,610
Runway 34,"A flying prodigy, Captain Vikrant Khanna's flight takes a stirring and mysterious trajectory after take-off from an international destination. Concurrently, it follows the tenacious Narayan Vedant in his pursuit to uncover the truth.",hi,2022-04-29,6.5,2.4729,51
Samaritan Girl,"Jae-Young is an amateur prostitute who sleeps with men while her best friend Yeo-Jin ""manages"" her, fixing dates, taking care of the money, and making sure the coast is clear. When Jae-Young falls in love with one of those men, she suppresses her feelings towards him in respect of her friend who's jealous.",ko,2004-03-05,6.994,2.2969,234
Dersu Uzala,"A military explorer meets and befriends a Goldi man in Russia’s unmapped forests. A deep and abiding bond evolves between the two men, one civilized in the usual sense, the other at home in the glacial Siberian woods.",ru,1975-08-02,7.928,2.3572,565
Tekkonkinkreet,"Two penniless orphans, Black and White, struggle to survive on the mean streets of Treasure Town. When a megacorporation threatens to tear down the town to build an amusement park, Black and White engage in the fight of their life.",ja,2006-10-21,7.381,2.5172,381
Doraemon: The New Record of Nobita's Spaceblazer,"While Nobita is sleeping, he suddenly feels the floor is trembling, like there would be an earthquake in his room. A little rabbit from an alternate universe named Chamii opens the door between the dimensions using a hammer and gets inside Nobita's room through the floor. Nobita wakes up and Doraemon hears somebody steal food from the fridge in the kitchen. It is Chamii, who gets caught by Doraemon and Nobita. She shows them the passageway through Nobita's floor into the spaceship. After they enter the spaceship, they see Koya Koya Planet. They meet a boy named Roppuru.",ja,2009-03-07,6.8,2.9736,44
Walk the Line,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",en,2005-09-13,7.503,2.8232,2961
Dragon Wars: D-War,"Ethan learns he carries the spirit of a warrior who battled dragons in 16th-century Korea -- and one day he'll find a tattooed girl carrying the spirit of that warrior's beloved. Years later, he meets Sarah and dragons soon descend on Los Angeles seeking out the two souls of the ancient lovers.",ko,2007-08-01,4.5,2.4455,423
Villa Maids,"The second generation of a chaebol was exiled to a rural villa because of a mistake. However, it only brought fun and excitement to another world that unfolds there.",ko,2021-05-21,1.0,2.629,1
A Story Written with Water,"Struggling with his true emotions, dreams, memories of the past and the reality Shizuo is about to marry, but is torn between his wife-to-be and the love to his mother.",ja,1965-11-23,6.5,1.617,17
Widows,"A police shootout leaves four thieves dead during an explosive armed robbery attempt in Chicago. Their widows have nothing in common except a debt left behind by their spouses' criminal activities. Hoping to forge a future on their own terms, they join forces to pull off a heist.",en,2018-11-06,6.487,2.2649,2343
The Night Is Ours,"Tomboy Morgan is tortured by the sudden death of her best friend Olivia. At her wake, Olivia mysteriously comes back to life, and the two escape on a reckless road trip that takes them past the boundaries of friendship and into a dark and uncertain future.",en,2014-04-29,0.0,1.2801,0
An Extremely Goofy Movie,"It's all extreme sports and a life of freedom as Max sets off for college -- but Goofy misses Max so much he loses his job and goes to finish college alongside Max and his friends. But as Goofy tries to get closer to Max, both must go to the extreme to learn how to live their own lives together.",en,2000-02-29,6.422,2.8049,655
Dirty Teacher,"When a high school senior discovers her teacher is seducing her boyfriend, events turn deadly after the teacher tries to cover it up.",en,2013-03-30,5.9,2.5351,51
Guardians,"During the Cold War, an organization called ""Patriot"" created a superhero squad, which includes members of multiple Soviet republics. For years, the heroes had to hide their identities, but, in hard times, they must show themselves again.",ru,2017-02-14,5.023,2.6457,781
Entergalactic,Ambitious artist Jabari attempts to balance success and love when he moves into his dream Manhattan apartment and falls for his next-door neighbor.,en,2022-09-28,7.626,2.4487,413
Delivery Man,An affable underachiever finds out he's fathered 533 children through anonymous donations to a fertility clinic 20 years ago. Now he must decide whether or not to come forward when 142 of them file a lawsuit to reveal his identity.,en,2013-10-10,6.254,2.2063,1511
The Purity of Vengeance,"Copenhagen, 2018. A frightening discovery is made in an old apartment. The subsequent investigation of Department Q leads them to an infamous institution for girls that was suddenly closed in the early sixties.",da,2018-10-04,7.2,2.7256,507
Before the Devil Knows You're Dead,"When two brothers organize the robbery of their parents' jewelry store, the job goes horribly wrong, triggering a series of events that send them and their family hurtling towards a shattering climax.",en,2007-09-26,7.11,2.7132,1577
А почему так?,,ru,1929-01-01,6.2,1.2601,6
The Secret Garden,"A young British girl born and reared in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's castle. Her uncle is very distant due to the loss of his wife ten years before. Neglected once again, she begins exploring the estate and discovers a garden that has been locked and forgotten. Aided by one of the servants' boys, she begins restoring the garden, and eventually discovers some other secrets of the manor.",en,1993-08-13,7.418,2.1454,926
Ice Age: A Mammoth Christmas,"When Sid accidentally destroys Manny's heirloom Christmas rock and ends up on Santa's naughty list, he leads a hilarious quest to the North Pole to make things right and ends up making things much worse. Now it's up to Manny and his prehistoric posse to band together and save Christmas for the entire world!",en,2011-11-24,6.468,2.7845,662
Jongli,"Liza made a difficult decision at the moment of the birth of her illegitimate child in the hospital. So she had no choice but to abandon the child in the dustbin. As she was leaving the baby in a dumpster on the road behind the hospital in the dark of night, she came face to face with Dr. Tithi—the very doctor who had delivered Liza's baby in the operating theater. Tithi brought her back to the hospital and began to tell her a story. A story intertwined with Tithi herself, a 6-year-old girl named Pakhi, and a wild-hearted man named Johnny.",bn,2025-03-31,9.0,2.7043,1
Exchange Wife 2,"Kyeong-soo, an art dealer who specializes in painting, goes to evaluate the requested painting and accidentally damages it. Chang-in, the owner of the painting, suggests one thing from Kyung-soo, who was at a loss.",ko,2023-02-03,0.0,2.4852,0
The Manchurian Candidate,"Near the end of the Korean War, a platoon of U.S. soldiers is captured by communists and brainwashed. Following the war, the platoon is returned home, and Sergeant Raymond Shaw is lauded as a hero by the rest of his platoon. However, the platoon commander, Captain Bennett Marco, finds himself plagued by strange nightmares and soon races to uncover a terrible plot.",en,1962-10-24,7.5,2.5235,740
Medieval,"The story of fifteenth century Czech icon and warlord, Jan Zizka, who defeated armies of the Teutonic Order and the Holy Roman Empire.",en,2022-09-08,6.9,2.9854,494
McLintock!,"Ageing, wealthy, rancher and self-made man, George Washington McLintock is forced to deal with numerous personal and professional problems. Seemingly everyone wants a piece of his enormous farmstead, including high-ranking government men and nearby Native Americans. As McLintock tries to juggle his various adversaries, his wife—who left him two years previously—suddenly returns. But she isn't interested in George; she wants custody of their daughter.",en,1963-11-12,6.556,3.3858,239
Flow,A filmmaker talks about his work and love life with an unseen friend behind the camera. We also watch four of his short films.,en,1996-01-01,8.0,2.4355,52
The Sand,"After an all-night graduation beach party, a group of hung-over students wakes up under the blazing sun to find their numbers somewhat depleted. An enormous alien creature has burrowed down deep and anyone foolish enough to make contact with the sand finds themselves at the mercy of a sea of flesh-eating tentacles. Will they ever be able to escape its carnivorous clutches?",en,2015-08-28,5.1,2.3122,242
Eyes Without a Face,"Dr. Génessier is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane, who outsiders believe is dead. Dr. Génessier, along with accomplice and laboratory assistant Louise, kidnaps young women and brings them to the Génessier mansion. After rendering his victims unconscious, Dr. Génessier removes their faces and attempts to graft them on to Christiane's.",fr,1960-01-11,7.577,1.9227,755
